GeneralAdvice+运动++,GeneralAdvice+治疗++	GeneralExplanation+问题++,GeneralExplanation+问题++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Advice+行为+行为名	
O	I+Advice+行为+行为名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Advice+行为+效果	
O	I+Advice+行为+效果	
O	I+Advice+行为+效果	
O	I+Advice+行为+效果	
O	I+Advice+行为+效果	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	B+Inform+治疗+时间	
O	I+Inform+治疗+时间	
O	I+Inform+治疗+时间	
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+治疗+检查值	
I+Inform+问题+血糖值	I+Inform+治疗+检查值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+饮食+饮食量	
O	O	
O	O	
O	O	
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	B+Inform+问题+时间	
O	I+Inform+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	


none	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+治疗+检查项	B+AskForSure+治疗+检查项	
I+AskForSure+治疗+检查项	I+AskForSure+治疗+检查项	
I+AskForSure+治疗+检查项	I+AskForSure+治疗+检查项	
O	O	
O	O	
O	O	
O	O	


AskWhy+++	AskWhy+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+问题+时间	
O	I+Inform+问题+时间	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+时间	O	
O	B+Inform+问题+时间	
I+Inform+问题+血糖值	I+Inform+问题+时间	
O	O	
B+Inform+问题+症状	B+Inform+问题+血糖值	
I+Inform+问题+症状	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
I+AskForSure+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	B+Explanation+治疗+时间	
O	I+Explanation+治疗+时间	
O	O	
O	O	
B+Explanation+治疗+检查项	B+Explanation+治疗+检查项	
I+Explanation+治疗+检查项	I+Explanation+治疗+检查项	
I+Explanation+治疗+检查项	I+Explanation+治疗+检查项	
I+Explanation+治疗+检查项	I+Explanation+治疗+检查项	
O	O	
B+Explanation+治疗+检查项	O	
I+Explanation+治疗+检查项	O	
I+Explanation+治疗+检查项	O	
I+Explanation+治疗+检查项	O	
O	O	
O	B+Explanation+治疗+效果	
B+Explanation+治疗+检查项	I+Explanation+治疗+效果	
I+Explanation+治疗+检查项	I+Explanation+治疗+效果	
I+Explanation+治疗+检查项	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	
I+Explanation+治疗+检查值	I+Explanation+治疗+效果	


none	none
O	O	
O	O	
O	O	
O	O	
B+AskForSure+治疗+药品	B+AskForSure+治疗+药品	
I+AskForSure+治疗+药品	I+AskForSure+治疗+药品	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+治疗+药品	O	
I+AskForSure+治疗+药品	O	
O	O	


AskWhy+++	AskWhy+++
O	O	
O	O	
B+AskForSure+问题+时间	B+Inform+问题+时间	
I+AskForSure+问题+时间	I+Inform+问题+时间	
O	O	
O	O	
B+AskForSure+问题+血糖值	B+Inform+问题+血糖值	
I+AskForSure+问题+血糖值	I+Inform+问题+血糖值	
O	O	
B+AskForSure+问题+血糖值	B+Inform+问题+时间	
I+AskForSure+问题+血糖值	I+Inform+问题+时间	
B+AskForSure+问题+血糖值	O	
I+AskForSure+问题+血糖值	O	
I+Inform+问题+血糖值	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+问题+血糖值+?	AskFor+问题+血糖值+?
O	O	
O	O	
O	B+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+问题+血糖值+?	AskFor+问题+血糖值+?
O	O	
B+AskFor+问题+时间	B+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	B+Inform+问题+时间	
O	I+Inform+问题+时间	
O	I+Inform+问题+时间	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	


none	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none,Assure+++	Assure+++
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+治疗+用药（治疗）频率	B+Advice+治疗+用药（治疗）频率	
I+Advice+治疗+用药（治疗）频率	I+Advice+治疗+用药（治疗）频率	
